編號,型式,測照地點,測照方向,速限,行政區,測照型式,座標緯度,座標經度
205,非線圈數位-雷射,路竹區中山路與國昌路口,北向南,50,路竹,闖紅燈,22.854364,120.261247
206,雷達數位,路竹區復興路與復興路1133巷口,南向北,50,路竹,超速,22.831895,120.286462
207,線圈數位,路竹區中山南路與北嶺二路口,南向北,60,路竹,闖紅燈,22.829421,120.26604
208,線圈數位,明誠三路與南屏路口,西向東,50,鼓山,闖紅燈,22.66123,120.300266
209,非線圈數位-雷射(雷達),中華一路與大順一路口,南向北,60,鼓山,闖紅燈兼超速,22.65287,120.292238
210,線圈數位,中華一路與美術北三路口,北向南,60,鼓山,闖紅燈,22.662758,120.292452
211,雷達數位,鼓山三路與青峰路口,北向南,50,鼓山,超速,22.659278,120.275779
212,非線圈數位-雷射(雷達),鼓山區蓬萊路32號前(輕軌沿線) ,南向北,40,鼓山,闖紅燈,22.620316,120.279124
213,雷達數位,旗山區台28線29.2公里處,西向東,50,旗山,超速,22.883623,120.4732
214,非線圈數位-雷射(雷達),旗山區延平一路與旗甲路一段路口,北向南,60,旗山,闖紅燈,22.898965,120.481135
215,雷達數位,旗山區旗南三路8號以北50公尺處,南北向,70,旗山,超速,22.836104,120.462392
216,非線圈數位-雷射(雷達),旗山區中華路與華中街口,西向東,50,旗山,闖紅燈,22.887807,120.485499
217,雷達數位,旗山區旗甲路一段(台29線62K)圓潭橋前,北向南,60,旗山,超速,22.9133896,120.4934027
218,雷達數位,旗山區台29線(旗南三路)75.3K處,南北向,70,旗山,超速,22.805735,120.460945
219,線圈數位,鳳山區鳳頂路與田中央路口,南向北,60,鳳山,闖紅燈,22.59445,120.359211
220,非線圈數位-雷射,鳳山區國泰路二段與五甲一路口,北向南,60,鳳山,闖紅燈,22.616306,120.353083
221,線圈數位,鳳山區建國路三段與青年路二段口,東向西,60,鳳山,闖紅燈,22.63744,120.350961
222,線圈數位,鳳山區鳳頂路過埤路口,西向東,60,鳳山,闖紅燈,22.590328,120.358336
223,線圈數位,鳳山區南華一路保安二街口,東向西,50,鳳山,闖紅燈,22.597925,120.341869
224,線圈數位,鳳山區建國路二段經武路口,西向東,70,鳳山,闖紅燈,22.635294,120.363307
225,線圈數位,鳳山區建國路三段與澄清路口,東向西,50,鳳山,闖紅燈,22.636531,120.344831
226,線圈數位,鳳山區中山東路與光遠路口,南向北,50,鳳山,闖紅燈,22.623114,120.368352
227,線圈數位,鳳山區中山東路與仁愛路口,北向南,50,鳳山,闖紅燈,22.624784,120.372145
228,雷達數位,鳳山區維武路陸軍官校側門以北50公尺處,北向南,40,鳳山,超速,22.618024,120.365397
229,雷達數位,鳳山區鳳頂路(台糖加油站對面),北向南,60,鳳山,超速,22.598097,120.360016
230,非線圈數位-雷射,鳳山區國泰路一段與鳳頂路口,西向東,50,鳳山,闖紅燈,22.614566,120.36204
231,非線圈數位-雷射(雷達),鳳山區南華一路與和成路,西向東,60,鳳山,闖紅燈,22.594791,120.344027
232,非線圈數位-雷射(雷達),鳳山區國泰路二段與南京路口,北向南,60,鳳山,闖紅燈兼超速,22.622242,120.344934
233,非線圈數位-雷射(雷達),鳳山區鳳頂路與過埤路口,北向南,60,鳳山,闖紅燈兼超速,22.590568,120.358733
234,非線圈數位-雷射(雷達),鳳山區臨海路與南華一路口,南向北,50/40,鳳山,闖紅燈,22.597889,120.341283
235,非線圈數位-雷射,鳳山區過埤路與鳳頂路口,東向西,60,鳳山,闖紅燈兼路口科技執法監測,22.5903729,120.3593547
236,線圈數位,橋頭區成功南路仕隆路口,北向南,60,橋頭,闖紅燈,22.754935,120.311587
237,線圈數位,橋頭區成功北路筆秀路口,南向北,70,橋頭,闖紅燈,22.767999,120.305293
238,雷達數位,橋頭區白樹路175號對面,西向東,40,橋頭,超速,22.757953,120.302545
239,非線圈數位-雷射(雷達),橋頭區成功北路與新興路,北向南,60,橋頭,闖紅燈,22.759935,120.30955
240,非線圈數位-雷射(雷達),橋頭區成功北路與鐵道北路,北向南,60,橋頭,闖紅燈,22.767154,120.305743
241,線圈數位,燕巢區樹德科技前,西向東,50,燕巢,闖紅燈,22.764708,120.374635
242,線圈數位,台22線高雄科技大學(燕巢校區)前路口,東向西,60,燕巢,闖紅燈,22.772306,120.400645
243,雷達數位,燕巢區旗楠路段(鳳旗路44號之10旁),東向西,50,燕巢,超速,22.755227,120.356279
244,線圈數位,中興路與南一巷口(燕巢國中前),北向南,60,燕巢,闖紅燈,22.786931,120.362362
245,非線圈數位-雷射,燕巢區台22線深水國小前路口,東向西,50,燕巢,闖紅燈,22.777427,120.405887
246,雷達數位,燕巢區鳳澄路7之32號前,北向南,60,燕巢,超速,22.758594,120.36395
